modelo,umbral,tasa_aprobacion,mora_aprobados,precision,recall,f1
V2 (sin Genero),0.375,0.55991,0.05837,0.13366,0.64286,0.22131
V2 (sin Genero),0.38,0.56863,0.05747,0.13636,0.64286,0.225
V2 (sin Genero),0.385,0.59041,0.06273,0.13298,0.59524,0.21739
V2 (sin Genero),0.39,0.61002,0.06429,0.13408,0.57143,0.21719
V2 (sin Genero),0.395,0.62745,0.06597,0.1345,0.54762,0.21596
V2 (sin Genero),0.4,0.63617,0.06507,0.13772,0.54762,0.2201
V2 (sin Genero),0.405,0.64924,0.06376,0.14286,0.54762,0.2266
V2 (sin Genero),0.41,0.66013,0.06601,0.14103,0.52381,0.22222
V2 (sin Genero),0.415,0.67538,0.06774,0.14094,0.5,0.2199
V2 (sin Genero),0.42,0.69281,0.07233,0.13475,0.45238,0.20765
V2 (sin Genero),0.425,0.70588,0.07407,0.13333,0.42857,0.20339
V2 (sin Genero),0.43,0.72331,0.07229,0.14173,0.42857,0.21302
V2 (sin Genero),0.435,0.73856,0.07375,0.14167,0.40476,0.20988
V2 (sin Genero),0.44,0.74292,0.07331,0.14407,0.40476,0.2125
V2 (sin Genero),0.445,0.76253,0.07429,0.14679,0.38095,0.21192
V2 (sin Genero),0.45,0.77342,0.07606,0.14423,0.35714,0.20548
V2 (sin Genero),0.455,0.78431,0.07778,0.14141,0.33333,0.19858
V2 (sin Genero),0.46,0.79521,0.07671,0.14894,0.33333,0.20588
V2 (sin Genero),0.465,0.80392,0.07588,0.15556,0.33333,0.21212
V2 (sin Genero),0.47,0.81699,0.08,0.14286,0.28571,0.19048
V2 (sin Genero),0.475,0.81917,0.07979,0.14458,0.28571,0.192
V2 (sin Genero),0.48,0.82135,0.07958,0.14634,0.28571,0.19355
V2 (sin Genero),0.485,0.82789,0.07895,0.1519,0.28571,0.19835
V2 (sin Genero),0.49,0.83224,0.08115,0.14286,0.2619,0.18487
V2 (sin Genero),0.495,0.8366,0.08073,0.14667,0.2619,0.18803
V2 (sin Genero),0.5,0.84749,0.0874,0.11429,0.19048,0.14286
V2 (sin Genero),0.505,0.8671,0.08794,0.11475,0.16667,0.13592
V2 (sin Genero),0.51,0.88453,0.08867,0.11321,0.14286,0.12632
V2 (sin Genero),0.515,0.89542,0.08759,0.125,0.14286,0.13333
V2 (sin Genero),0.52,0.91068,0.08612,0.14634,0.14286,0.14458
V2 (sin Genero),0.525,0.91503,0.08571,0.15385,0.14286,0.14815
V2 (sin Genero),0.53,0.91939,0.08531,0.16216,0.14286,0.1519
V2 (sin Genero),0.535,0.9281,0.09155,0.09091,0.07143,0.08
V2 (sin Genero),0.54,0.93246,0.09112,0.09677,0.07143,0.08219
V2 (sin Genero),0.545,0.93682,0.0907,0.10345,0.07143,0.08451
V2 (sin Genero),0.55,0.94118,0.09028,0.11111,0.07143,0.08696
V2 (sin Genero),0.555,0.94989,0.09174,0.08696,0.04762,0.06154
V2 (sin Genero),0.56,0.95425,0.09132,0.09524,0.04762,0.06349
V2 (sin Genero),0.565,0.95643,0.09112,0.1,0.04762,0.06452
V2 (sin Genero),0.57,0.96296,0.09276,0.05882,0.02381,0.0339
V2 (sin Genero),0.575,0.96732,0.09234,0.06667,0.02381,0.03509
V2 (sin Genero),0.58,0.96732,0.09234,0.06667,0.02381,0.03509
V2 (sin Genero),0.585,0.9695,0.09213,0.07143,0.02381,0.03571
V2 (sin Genero),0.59,0.97603,0.09152,0.09091,0.02381,0.03774
V2 (sin Genero),0.595,0.97821,0.09131,0.1,0.02381,0.03846
V2 (sin Genero),0.6,0.98039,0.09111,0.11111,0.02381,0.03922
